,product_name,pairing
0,30506," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
1,7 Colores Limited Edition Syrah 2020," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
2,Aila Heaven Cabernet Sauvignon Gran Reserva 2021," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
3,Amaral Brut 750cc," Provolone,  Edamental,  Almeja,  Ostra,  Ricotta,  Grada Padano,  Queso Fresco,  Camarones,  Langosta,  Gruyere,  Salami,  Cangrejo,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Manchego,  Batata,  Comte,  Zapallo,  Queso Crema,  Havarti,  Vieira,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Delice de Bougorgne,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Asiago,  Tocineta,  Scamorza,  Halloumi,  Parmesano, Feta,  Jamon,  Charcuteria,  Mozzarela"
4,Arboleda Cabernet Sauvignon 2021," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
5,Arboleda Carmenere 2021," Provolone,  Tomate,  Cerdo,  Edamental,  Cardamomo,  Grada Padano,  Cebollin,  Ossau-Iraty,  Venado,  Berenjena,  Chuleta,  Clavo,  Manchego,  Hongos,  Comte,  Gouda,  Gengibre,  Frijoles Blancos,  Pecorino,  Pimienta,  Fenogreco, Gruyere,  Frijoles Negos,  Muenster,  Perejil,  Eneldo,  Tomillo,  Asiago,  Ajo,  Judía Pinta,  Scamorza,  Chalota,  Cebolla,  Parmesano,  Oregano,  Tofu,  Seitan,  Colby,  Pimiento,  Canela,  Lenteja,  Carne de Res,  Cordero,  Cheddar,  Vainilla,  Anis,  Pollo,  Mozzarela,  Nuez Moscada"
6,Arboleda Chardonnay 2021," Provolone,  Cerdo,  Edamental,  Cebollin,  Camarones,  Langosta,  Gruyere,  Cangrejo,  Burrata,  Epoisses,  Chuleta,  Hongos,  Comte,  Delice de Bougorgne,  Camembert,  Ajo,  Scamorza,  Chalota,  Cebolla,  Tofu,  Seitan, Brie,  Pollo,  Mozzarela"
7,Arboleda Pinot Noir 2020," Provolone,  Cerdo,  Edamental,  Hongos,  Comte,  Ajo,  Chuleta,  Scamorza,  Seitan,  Cebolla,  Chalota,  Pollo,  Mozzarela,  Tofu, Gruyere"
8,Arboleda Sauvignon Blanc 2018," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
9,Arboleda Sauvignon Blanc 2020," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
10,Arboleda Sauvignon Blanc 2022," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
11,Arboleda Syrah 2021," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
12,Aresti Mandala Rose Espumante 750cc," Provolone,  Cerdo,  Edamental,  Hongos,  Comte,  Ajo,  Chuleta,  Scamorza,  Seitan,  Cebolla,  Chalota,  Pollo,  Mozzarela,  Tofu, Gruyere"
13,Aresti Trisquel Cabernet Sauvignon Gran Reserva 2020," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
14,Aresti Trisquel Carmenere Gran Reserva 2020," Provolone,  Tomate,  Cerdo,  Edamental,  Cardamomo,  Grada Padano,  Cebollin,  Ossau-Iraty,  Venado,  Berenjena,  Chuleta,  Clavo,  Manchego,  Hongos,  Comte,  Gouda,  Gengibre,  Frijoles Blancos,  Pecorino,  Pimienta,  Fenogreco, Gruyere,  Frijoles Negos,  Muenster,  Perejil,  Eneldo,  Tomillo,  Asiago,  Ajo,  Judía Pinta,  Scamorza,  Chalota,  Cebolla,  Parmesano,  Oregano,  Tofu,  Seitan,  Colby,  Pimiento,  Canela,  Lenteja,  Carne de Res,  Cordero,  Cheddar,  Vainilla,  Anis,  Pollo,  Mozzarela,  Nuez Moscada"
15,Aresti Trisquel Gewurztraminer Gran Reserva 2022," Provolone,  Comino,  Cerdo,  Edamental,  Cardamomo,  Palta,  Cayena,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Salami,  Cilantro,  Cangrejo,  Burrata,  Epoisses,  Chuleta,  Nabo,  Clavo,  Gorgonzola,  Menta,  Vinagreta,  Comte,  Zapallo,  Escarola,  Queso Azul,  Gengibre,  Lechuga,  Calabaza,  Pimienta,  Zanahoria,  Fenogreco,  Curcuma, Stilton,  Perejil,  Delice de Bougorgne,  Camembert,  Brie,  Teriyaki,  Roquefort,  Albahaca,  Tocineta,  Scamorza,  Tofu,  Jamon,  Seitan,  Guisantes,  Pimenton,  Barbecue,  Canela,  Chipotle,  Marinado,  Col,  Shiso,  Charcuteria,  Anis,  Vainilla,  Aguacate,  Pollo,  Mozzarela,  Nuez Moscada"
16,Baron Philippe De Rothschild Escudo Rojo Origine Cabernet Sauvignon 2019," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
17,Baron Phillippe De Rothschild Mapu Chardonnay 2022," Provolone,  Cerdo,  Edamental,  Cebollin,  Camarones,  Langosta,  Gruyere,  Cangrejo,  Burrata,  Epoisses,  Chuleta,  Hongos,  Comte,  Delice de Bougorgne,  Camembert,  Ajo,  Scamorza,  Chalota,  Cebolla,  Tofu,  Seitan, Brie,  Pollo,  Mozzarela"
18,Bisquertt La Joya C. Sauvignon Gran Reserva 2020," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
19,Bisquertt La Joya Sauvignon Blanc Gran Reserva 2021," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
20,Bisquertt Petirrojo Sauvignon Blanc 2022," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
21,Caiti Lux Series Sauvignon Blanc 2020," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
22,Calcu Futa Cabernet Sauvignon 2015," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
23,Caliterra Cabernet Sauvignon Reserva 2020," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
24,Caliterra Cabernet Sauvignon Reserva 2021," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
25,Caliterra Merlot Reserva 2022," Provolone,  Tomate,  Cerdo,  Edamental,  Cardamomo,  Grada Padano,  Cebollin,  Ossau-Iraty,  Venado,  Berenjena,  Chuleta,  Clavo,  Manchego,  Hongos,  Comte,  Gouda,  Gengibre,  Frijoles Blancos,  Pecorino,  Pimienta,  Fenogreco, Gruyere,  Frijoles Negos,  Muenster,  Perejil,  Eneldo,  Tomillo,  Asiago,  Ajo,  Judía Pinta,  Scamorza,  Chalota,  Cebolla,  Parmesano,  Oregano,  Tofu,  Seitan,  Colby,  Pimiento,  Canela,  Lenteja,  Carne de Res,  Cordero,  Cheddar,  Vainilla,  Anis,  Pollo,  Mozzarela,  Nuez Moscada"
26,Caliterra Sauvignon Blanc Reserva 2020," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
27,Caliterra Sauvignon Blanc Reserva 2022," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
28,Caliterra Tributo Single Vineyard C. Sauvignon 2018," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
29,Caliterra Tributo Single Vineyard Cabernet Sauvignon 2019," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
30,Caliterra Tributo Single Vineyard Chardonnay 2021," Provolone,  Cerdo,  Edamental,  Cebollin,  Camarones,  Langosta,  Gruyere,  Cangrejo,  Burrata,  Epoisses,  Chuleta,  Hongos,  Comte,  Delice de Bougorgne,  Camembert,  Ajo,  Scamorza,  Chalota,  Cebolla,  Tofu,  Seitan, Brie,  Pollo,  Mozzarela"
31,Caliterra Tributo Single Vineyard Sauvignon Blanc 2020," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
32,Caliterra Tributo Single Vineyard Sauvignon Blanc 2022," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
33,Caliterra Tributo Single Vineyard Syrah 2020," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
34,Caliterra Tributo Single Vineyard Syrah 2021," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
35,Calyptra Gran Cabernet Sauvignon 2019," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
36,Carmen Frida Kahlo Gran Cuvee Brut 750cc," Provolone,  Cerdo,  Edamental,  Cebollin,  Camarones,  Langosta,  Gruyere,  Cangrejo,  Burrata,  Epoisses,  Chuleta,  Hongos,  Comte,  Delice de Bougorgne,  Camembert,  Ajo,  Scamorza,  Chalota,  Cebolla,  Tofu,  Seitan, Brie,  Pollo,  Mozzarela"
37,Carmen Gran Cuvee Brut 750cc," Provolone,  Cerdo,  Edamental,  Cebollin,  Camarones,  Langosta,  Gruyere,  Cangrejo,  Burrata,  Epoisses,  Chuleta,  Hongos,  Comte,  Delice de Bougorgne,  Camembert,  Ajo,  Scamorza,  Chalota,  Cebolla,  Tofu,  Seitan, Brie,  Pollo,  Mozzarela"
38,Carolina Sauvignon Blanc Gran Reserva 2021," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
39,Casa Donoso Bicentenario Chardonnay 2022," Provolone,  Cerdo,  Edamental,  Cebollin,  Camarones,  Langosta,  Gruyere,  Cangrejo,  Burrata,  Epoisses,  Chuleta,  Hongos,  Comte,  Delice de Bougorgne,  Camembert,  Ajo,  Scamorza,  Chalota,  Cebolla,  Tofu,  Seitan, Brie,  Pollo,  Mozzarela"
40,Casa Donoso Bicentenario Malbec 2022," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
41,Casa Donoso Evolucion Cabernet Sauvignon Reserva 2021," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
42,Casa Donoso Evolucion Carmenere Reserva 2021," Provolone,  Tomate,  Cerdo,  Edamental,  Cardamomo,  Grada Padano,  Cebollin,  Ossau-Iraty,  Venado,  Berenjena,  Chuleta,  Clavo,  Manchego,  Hongos,  Comte,  Gouda,  Gengibre,  Frijoles Blancos,  Pecorino,  Pimienta,  Fenogreco, Gruyere,  Frijoles Negos,  Muenster,  Perejil,  Eneldo,  Tomillo,  Asiago,  Ajo,  Judía Pinta,  Scamorza,  Chalota,  Cebolla,  Parmesano,  Oregano,  Tofu,  Seitan,  Colby,  Pimiento,  Canela,  Lenteja,  Carne de Res,  Cordero,  Cheddar,  Vainilla,  Anis,  Pollo,  Mozzarela,  Nuez Moscada"
43,Casa Marin Cartagena Pinot Noir 2022," Provolone,  Cerdo,  Edamental,  Hongos,  Comte,  Ajo,  Chuleta,  Scamorza,  Seitan,  Cebolla,  Chalota,  Pollo,  Mozzarela,  Tofu, Gruyere"
44,Casa Marin Cartagena Sauvignon Blanc 2022," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
45,Casa Marin Lo Abarca Hills Pinot Noir 2012," Provolone,  Cerdo,  Edamental,  Hongos,  Comte,  Ajo,  Chuleta,  Scamorza,  Seitan,  Cebolla,  Chalota,  Pollo,  Mozzarela,  Tofu, Gruyere"
46,Casa Silva Gran Terroir De La Costa Syrah 2018," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
